sender,timestamp,message,msg_len,word_count,hour,is_question,is_emoji,is_photo,is_video,emotion,affection_score,nouns
건희,2023-12-07 12:09:00,동영상,3,1,12,0,0,0,1,neutral,0,['동영상']
안우섭,2023-12-07 12:09:00,와 지렸다,5,2,12,0,0,0,0,neutral,0,[]
건희,2023-12-07 12:09:00,동영상,3,1,12,0,0,0,1,neutral,0,['동영상']
안우섭,2023-12-07 12:09:00,땡큐,2,1,12,0,0,0,0,neutral,0,['땡큐']
안우섭,2023-12-07 12:09:00,ㄳㄳ,2,1,12,0,0,0,0,neutral,0,[]
건희,2023-12-07 12:09:00,동영상,3,1,12,0,0,0,1,neutral,0,['동영상']
건희,2023-12-07 12:09:00,기말 찢으러 가보자,10,3,12,0,0,0,0,very_negative,0,[]
안우섭,2023-12-07 12:09:00,ㅋㅋㅋㅋㅋㅋ,6,1,12,0,0,0,0,neutral,0,[]
안우섭,2023-12-07 12:09:00,가자..,4,1,12,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:36:00,건희,2,1,10,0,0,0,0,positive,0,['건희']
안우섭,2024-02-05 10:36:00,자료구조,4,1,10,0,0,0,0,neutral,0,['자료구조']
안우섭,2024-02-05 10:36:00,들을거지 이번에,8,2,10,0,0,0,0,neutral,0,['이번']
건희,2024-02-05 10:37:00,ㅇㅇ 무조건,6,2,10,0,0,0,0,very_negative,0,['무조건']
안우섭,2024-02-05 10:37:00,화목 12시,6,2,10,0,0,0,0,neutral,0,['화목']
건희,2024-02-05 10:37:00,ㅇㅇ 무조건 ㅋㅋㅋ,10,3,10,0,0,0,0,very_negative,0,['무조건']
안우섭,2024-02-05 10:37:00,ㅇㅋㅇㅋ,4,1,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:37:00,12시걸로,5,1,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:37:00,같이 ㄱㄱ,5,2,10,0,0,0,0,neutral,0,[]
건희,2024-02-05 10:37:00,굳,1,1,10,0,0,0,0,neutral,0,[]
건희,2024-02-05 10:37:00,준서 휴학해? 이번에,11,3,10,1,0,0,0,neutral,0,"['준서', '휴학', '이번']"
안우섭,2024-02-05 10:37:00,고민중이래,5,1,10,0,0,0,0,neutral,0,['고민']
건희,2024-02-05 10:37:00,ㅋㅋㅋㅋㅋㅋㅋ,7,1,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:37:00,지금은 모르겠네,8,2,10,0,0,0,0,negative,0,['지금']
안우섭,2024-02-05 10:37:00,ㅋㅋㅋ,3,1,10,0,0,0,0,neutral,0,[]
건희,2024-02-05 10:37:00,굳,1,1,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:37:00,ㅎ학기교,4,1,10,0,0,0,0,neutral,0,['학기']
안우섭,2024-02-05 10:38:00,다들음?,4,1,10,1,0,0,0,neutral,0,[]
건희,2024-02-05 10:38:00,엉,1,1,10,0,0,0,0,neutral,0,[]
건희,2024-02-05 10:38:00,나는 다 들음,7,3,10,0,0,0,0,positive,0,[]
안우섭,2024-02-05 10:38:00,사진,2,1,10,0,0,1,0,neutral,0,['사진']
건희,2024-02-05 10:38:00,선형대 수학 나중에 추가로 들을까 고민중,22,6,10,0,0,0,0,neutral,0,"['선형', '수학', '나중', '추가', '고민']"
안우섭,2024-02-05 10:38:00,형광펜빼고 하나 더 들으면 되느데 뭐하지,22,6,10,0,0,0,0,negative,0,"['형광', '하나']"
건희,2024-02-05 10:38:00,대매컴이나 디자인개론,11,2,10,0,0,0,0,neutral,0,"['매컴', '디자인', '개론']"
건희,2024-02-05 10:38:00,둘다 들은 입장에서 꿀,12,4,10,0,0,0,0,neutral,0,['입장']
안우섭,2024-02-05 10:39:00,ㅋㅋㅋㅋ,4,1,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:39:00,ㅇㅋ,2,1,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-05 10:39:00,대매컴으로 갈게,8,2,10,0,0,0,0,neutral,0,['매컴']
건희,2024-02-05 10:39:00,ㅋㅋㅋㅋㅋ ㅇㅋ,8,2,10,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 11:52:00,건희 시간표,6,2,11,0,0,0,0,neutral,0,"['건희', '시간표']"
안우섭,2024-02-07 11:52:00,다 짬?,4,2,11,1,0,0,0,neutral,0,[]
건희,2024-02-07 13:14:00,기초웹,3,1,13,0,0,0,0,neutral,0,['기초']
건희,2024-02-07 13:14:00,용인꺼라는데?,7,1,13,1,0,0,0,neutral,0,[]
건희,2024-02-07 13:14:00,고급웹들어야될거같아,10,1,13,0,0,0,0,neutral,0,['고급']
안우섭,2024-02-07 13:14:00,ㅇㅇ,2,1,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:14:00,용인임,3,1,13,0,0,0,0,neutral,0,['용인']
안우섭,2024-02-07 13:14:00,고급이,3,1,13,0,0,0,0,neutral,0,['고급']
안우섭,2024-02-07 13:14:00,서울,2,1,13,0,0,0,0,neutral,0,['서울']
안우섭,2024-02-07 13:14:00,교수님이 2개 같이 다녀서 ㅋㅋ,17,5,13,0,0,0,0,neutral,0,['교수']
안우섭,2024-02-07 13:14:00,오바임,3,1,13,0,0,0,0,neutral,0,['바임']
건희,2024-02-07 13:14:00,큰일이네,4,1,13,0,0,0,0,positive,0,['큰일']
건희,2024-02-07 13:14:00,ㅋㅋㅋㅋ,4,1,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:14:00,지금,2,1,13,0,0,0,0,neutral,0,['지금']
안우섭,2024-02-07 13:14:00,까지 짠거,5,2,13,0,0,0,0,negative,0,[]
안우섭,2024-02-07 13:14:00,어떻게됨,4,1,13,0,0,0,0,neutral,0,[]
건희,2024-02-07 13:14:00,형 기처웹 들음?,9,3,13,1,0,0,0,neutral,0,['처웹']
안우섭,2024-02-07 13:14:00,ㅇㅇ,2,1,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:14:00,웹 2학기에 열림,9,3,13,0,0,0,0,neutral,0,['학기']
안우섭,2024-02-07 13:15:00,저번학기에 들음,8,2,13,0,0,0,0,very_negative,0,"['저번', '학기']"
건희,2024-02-07 13:15:00,데베 소웨공 자료구조 컴아키,15,4,13,0,0,0,0,neutral,0,"['데베', '소웨공', '자료구조', '아키']"
건희,2024-02-07 13:15:00,고급웹 이링 빅데이터 기술특론,16,4,13,0,0,0,0,neutral,0,"['고급', '빅데이터', '기술', '특론']"
건희,2024-02-07 13:15:00,고민중,3,1,13,0,0,0,0,neutral,0,['고민']
안우섭,2024-02-07 13:15:00,내가,2,1,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:15:00,그거 두개 할라고봤는데,12,3,13,0,0,0,0,negative,0,['그거']
안우섭,2024-02-07 13:15:00,고급웹 빅기특,7,2,13,0,0,0,0,neutral,0,"['고급', '빅기특']"
안우섭,2024-02-07 13:15:00,고웹이 더 나아보인다,11,3,13,0,0,0,0,negative,0,[]
안우섭,2024-02-07 13:15:00,강의평 읽어보고,8,2,13,0,0,0,0,neutral,0,"['강의', '보고']"
안우섭,2024-02-07 13:15:00,그래서 고웹하는걸로 했음,13,3,13,0,0,0,0,negative,0,['는걸']
건희,2024-02-07 13:15:00,기초웹은 언어 뭐써?,11,3,13,1,0,0,0,neutral,0,"['기초', '언어']"
안우섭,2024-02-07 13:16:00,html css js,11,3,13,0,0,0,0,neutral,0,[]
건희,2024-02-07 13:16:00,고급웹은 또 다른 언어써?,14,4,13,1,0,0,0,neutral,0,"['고급', '다른', '언어']"
안우섭,2024-02-07 13:16:00,근데 그렇게 연관성이 있어보이지는 않던데,22,5,13,0,0,0,0,negative,0,"['연관', '보이']"
안우섭,2024-02-07 13:16:00,node js인가 이거 하는 거 같음,20,6,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:16:00,나 웹,3,2,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:16:00,ㅈㄴ못해서,5,1,13,0,0,0,0,neutral,0,[]
안우섭,2024-02-07 13:16:00,잘 모르는거같에,8,2,13,0,0,0,0,positive,0,[]
안우섭,2024-02-07 13:16:00,ㅋㅋ,2,1,13,0,0,0,0,neutral,0,[]
건희,2024-02-07 13:16:00,ㅋㅋㅋㅋㅋㅋㅋ,7,1,13,0,0,0,0,neutral,0,[]
